leftEye,rightEye
[1.52704155],[-0.78321042]
[1.52704155],[-0.78321042]
[-1.5182906],[-0.77445947]
[-1.5182906],[-0.77445947]
[-1.5182906],[-0.77445947]
[-1.5182906],[-0.77445947]
[0.0393793],[-0.02187739]
[0.0393793],[-0.02187739]
[0.0393793],[-0.02187739]
[0.0393793],[-0.02187739]
[0.0393793],[-0.02187739]
[0.0393793],[-0.13563979]
[0.0393793],[-0.13563979]
[0.0393793],[-0.13563979]
[0.0393793],[-0.13563979]
[-0.09188502],[-0.2494022]
[-0.09188502],[-0.2494022]
[-0.09188502],[-0.2494022]
[-0.09188502],[-0.2494022]
[-0.10063598],[-0.09188502]
[-0.10063598],[-0.09188502]
[-0.10063598],[-0.09188502]
[-0.10063598],[-0.09188502]
[0.2494022],[-0.22314934]
[0.14439075],[-0.22314934]
[0.14439075],[-0.22314934]
[0.14439075],[-0.22314934]
[0.14439075],[-0.22314934]
[0.11813789],[-0.21439838]
[0.11813789],[-0.21439838]
[0.11813789],[-0.21439838]
[0.11813789],[-0.21439838]
[0.37191556],[-0.19689648]
[0.37191556],[-0.17939457]
[0.37191556],[-0.17939457]
[0.37191556],[-0.17939457]
[0.14439075],[-0.61694229]
[0.14439075],[0.12688884]
[0.14439075],[0.12688884]
[0.14439075],[0.12688884]
[0.14439075],[0.12688884]
[0.13563979],[0.18814552]
[0.13563979],[0.18814552]
[0.13563979],[0.18814552]
[0.13563979],[0.18814552]
[-0.10063598],[-0.78321042]
[0.18814552],[-0.61694229]
[0.18814552],[-0.61694229]
[0.18814552],[-0.61694229]
[0.40691938],[-0.24065125]
[0.40691938],[-0.24065125]
[0.40691938],[-0.24065125]
[0.40691938],[-0.24065125]
[1.54454346],[-0.70445183]
[1.54454346],[-0.70445183]
[1.54454346],[-0.70445183]
[1.54454346],[-0.70445183]
[1.54454346],[-0.70445183]
[1.52704155],[-0.24065125]
[1.52704155],[-0.24065125]
[1.52704155],[-0.24065125]
[1.52704155],[-0.24065125]
[0.11813789],[-0.17939457]
[0.19689648],[-0.17939457]
[0.19689648],[-0.17939457]
[0.19689648],[-0.17939457]
[0.27565507],[0.17064361]
[0.27565507],[0.17064361]
[0.27565507],[0.17064361]
[0.27565507],[0.17064361]
[0.27565507],[0.17064361]
[0.16189266],[-0.62569324]
